M  It    Kmax Operation     TCT    CPU
2  10    2    Inter-Swap    13468  1.170019    
2  10    2    Inter-Insert  13745  1.514070    
2  10    4    Inter-Swap    13752  1.217651    
2  10    4    Inter-Insert  13681  1.560463    
2  10    6    Inter-Swap    13622  1.282735    
2  10    6    Inter-Insert  13410  1.575224    
2  30    2    Inter-Swap    13777  3.444522    
2  30    2    Inter-Insert  13406  4.405805    
2  30    4    Inter-Swap    13808  3.728957    
2  30    4    Inter-Insert  13497  4.990528    
2  30    6    Inter-Swap    13772  3.871543    
2  30    6    Inter-Insert  13299  4.984554    
2  60    2    Inter-Swap    13326  7.899305    
2  60    2    Inter-Insert  13396  9.609522    
2  60    4    Inter-Swap    13613  7.916386    
2  60    4    Inter-Insert  13350  10.254112   
2  60    6    Inter-Swap    13506  8.014336    
2  60    6    Inter-Insert  13381  9.976461    
2  100   2    Inter-Swap    13690  12.679582   
2  100   2    Inter-Insert  13324  16.397145   
2  100   4    Inter-Swap    13645  12.427027   
2  100   4    Inter-Insert  13457  16.183650   
2  100   6    Inter-Swap    13425  12.698620   
2  100   6    Inter-Insert  13390  16.555808   
4  10    2    Inter-Swap    7383   1.351983    
4  10    2    Inter-Insert  7194   1.808785    
4  10    4    Inter-Swap    7417   1.478546    
4  10    4    Inter-Insert  7310   1.814443    
4  10    6    Inter-Swap    7284   1.577129    
4  10    6    Inter-Insert  7266   1.739182    
4  30    2    Inter-Swap    7266   4.185100    
4  30    2    Inter-Insert  7154   5.097430    
4  30    4    Inter-Swap    7331   4.454726    
4  30    4    Inter-Insert  7163   5.368929    
4  30    6    Inter-Swap    7225   4.869064    
4  30    6    Inter-Insert  7124   5.666042    
4  60    2    Inter-Swap    7267   8.396334    
4  60    2    Inter-Insert  7212   10.306348   
4  60    4    Inter-Swap    7179   8.843714    
4  60    4    Inter-Insert  7027   11.005941   
4  60    6    Inter-Swap    7239   9.446226    
4  60    6    Inter-Insert  7155   11.349443   
4  100   2    Inter-Swap    7243   14.563305   
4  100   2    Inter-Insert  7144   17.371544   
4  100   4    Inter-Swap    7197   14.887695   
4  100   4    Inter-Insert  7180   19.319760   
4  100   6    Inter-Swap    7245   16.355900   
4  100   6    Inter-Insert  7157   20.966509   
6  10    2    Inter-Swap    5221   1.370905    
6  10    2    Inter-Insert  5173   1.596613    
6  10    4    Inter-Swap    5244   1.590914    
6  10    4    Inter-Insert  5271   1.870430    
6  10    6    Inter-Swap    5224   1.574544    
6  10    6    Inter-Insert  5242   1.637348    
6  30    2    Inter-Swap    5219   4.504643    
6  30    2    Inter-Insert  5187   6.104804    
6  30    4    Inter-Swap    5241   4.926959    
6  30    4    Inter-Insert  5154   5.059045    
6  30    6    Inter-Swap    5176   5.022974    
6  30    6    Inter-Insert  5192   5.463309    
6  60    2    Inter-Swap    5167   11.153721   
6  60    2    Inter-Insert  5155   11.263949   
6  60    4    Inter-Swap    5207   10.891155   
6  60    4    Inter-Insert  5157   12.616762   
6  60    6    Inter-Swap    5167   12.329833   
6  60    6    Inter-Insert  5179   12.411459   
6  100   2    Inter-Swap    5212   15.364230   
6  100   2    Inter-Insert  5120   16.259606   
6  100   4    Inter-Swap    5155   17.090458   
6  100   4    Inter-Insert  5184   19.948207   
6  100   6    Inter-Swap    5203   18.354066   
6  100   6    Inter-Insert  5141   21.293519   
8  10    2    Inter-Swap    4231   1.689109    
8  10    2    Inter-Insert  4261   1.863525    
8  10    4    Inter-Swap    4265   1.635166    
8  10    4    Inter-Insert  4265   1.489031    
8  10    6    Inter-Swap    4229   1.612034    
8  10    6    Inter-Insert  4259   1.866358    
8  30    2    Inter-Swap    4198   5.518705    
8  30    2    Inter-Insert  4199   4.661912    
8  30    4    Inter-Swap    4242   4.710151    
8  30    4    Inter-Insert  4233   4.645473    
8  30    6    Inter-Swap    4181   4.676391    
8  30    6    Inter-Insert  4234   4.715902    
8  60    2    Inter-Swap    4230   9.168659    
8  60    2    Inter-Insert  4213   9.195893    
8  60    4    Inter-Swap    4230   11.330744   
8  60    4    Inter-Insert  4226   10.430457   
8  60    6    Inter-Swap    4212   10.089599   
8  60    6    Inter-Insert  4168   9.263908    
8  100   2    Inter-Swap    4197   16.151758   
8  100   2    Inter-Insert  4213   15.191107   
8  100   4    Inter-Swap    4219   15.911864   
8  100   4    Inter-Insert  4210   15.380463   
8  100   6    Inter-Swap    4192   17.071532   
8  100   6    Inter-Insert  4223   17.290734
